res_id,has_financial_barrier,has_condition_barrier,has_violation_barrier,has_store_accessibility_barrier,has_park_accessibility_barrier,barrier_count,has_any_barrier,has_multiple_barriers
01AAA1633000,False,False,False,False,False,0,False,False
01AAA1962000,False,False,False,False,False,0,False,False
01AAA2933000,False,False,False,False,False,0,False,False
01AAA3136000,False,False,False,False,False,0,False,False
01AAO0160131,False,False,False,False,False,0,False,False
01ABT1560001,False,False,False,False,False,0,False,False
01ACA0142002,False,False,False,False,False,0,False,False
01ADA0163003,True,False,False,False,False,1,True,False
01ADH0153000,False,False,False,False,False,0,False,False
01ADT0161000,False,False,False,False,False,0,False,False
01AEG0162001,True,False,False,False,False,1,True,False
01AGE1245000,False,False,False,False,False,0,False,False
01AJH2754003,True,False,False,False,False,1,True,False
01ALA0160174,False,False,False,False,False,0,False,False
01ALA3158001,True,False,False,False,False,1,True,False
01ALE1643000,True,False,False,False,False,1,True,False
01ALN2759001,False,False,False,False,False,0,False,False
01AME0150026,True,False,False,False,False,1,True,False
01AMZ2058000,False,False,False,False,False,0,False,False
01ANS0938001,False,False,False,False,False,0,False,False
01AOA0160037,True,False,False,False,False,1,True,False
01ARE0169003,False,False,False,False,False,0,False,False
01ASK0132000,True,False,False,False,False,1,True,False
01ASU0150000,False,False,False,False,False,0,False,False
01AVA2850000,False,False,False,False,False,0,False,False
01AWM0142001,True,False,False,False,False,1,True,False
01BAA0160542,False,False,False,False,False,0,False,False
01BAA2651000,False,False,False,False,False,0,False,False
01BAL0160066,False,False,False,False,False,0,False,False
01BAN0553002,False,False,False,False,False,0,False,False
01BAO0857000,False,False,False,False,False,0,False,False
01BAR0160020,False,False,False,False,False,0,False,False
01BAY0142002,False,False,False,False,False,0,False,False
01BAY0143001,False,False,False,False,False,0,False,False
01BBA1237000,False,False,False,False,False,0,False,False
01BBA1456000,False,False,False,False,False,0,False,False
01BBD0137000,False,False,False,False,False,0,False,False
01BBS1147000,False,False,False,False,False,0,False,False
01BCA0938001,False,False,False,False,False,0,False,False
01BCE3159005,True,False,False,False,False,1,True,False
01BDD0160404,False,False,False,False,False,0,False,False
01BED0142000,True,False,False,False,False,1,True,False
01BED2645000,False,False,False,False,False,0,False,False
01BEH0859000,False,False,False,False,False,0,False,False
01BGY0160149,True,False,False,False,False,1,True,False
01BHY0557002,False,False,False,False,False,0,False,False
01BIA0160036,False,False,False,False,False,0,False,False
01BIA0656000,False,False,False,False,False,0,False,False
01BJE0162022,False,False,False,False,False,0,False,False
01BJN2936003,False,False,False,False,False,0,False,False
01BJS1662001,True,False,False,False,False,1,True,False
01BJT2550000,False,False,False,False,False,0,False,False
01BJY0653003,False,False,False,False,False,0,False,False
01BLA2752001,False,False,False,False,False,0,False,False
01BLN0759000,False,False,False,False,False,0,False,False
01BLN1556000,True,False,False,False,False,1,True,False
01BMA1053001,False,False,False,False,False,0,False,False
01BMA2134002,False,False,False,False,False,0,False,False
01BMA2445000,False,False,False,False,False,0,False,False
01BME0550000,False,False,False,False,False,0,False,False
01BME2261000,True,False,False,False,False,1,True,False
01BML0100106,True,False,False,False,False,1,True,False
01BML1655000,False,False,False,False,False,0,False,False
01BMN0155001,True,False,False,False,False,1,True,False
01BNY0949001,False,False,False,False,False,0,False,False
01BNY3148000,True,False,False,False,False,1,True,False
01BOA0724000,False,False,False,False,False,0,False,False
01BPA0149011,False,False,False,False,False,0,False,False
